"","X","SEX","RACE","RELIG","FUND","MARITAL","ATTEND","PREMARSX","XMARSEX","HOMOSEX","TEENSEX","ABANY","CAPPUN","GUNLAW","GRASS","PRAYER","NATCITY","NATHEAL","NATCRIME","NATDRUG","NATEDUC","NATRACE","NATFARE","NATROAD","NATMASS","CONCLERG","CONEDUC","CONFED","CONPRESS","CONJUDGE","CONLEGIS","FECHLD","FEHELP","FEPRESCH","FEFAM","RACDIF1","LIVEBLKS","MARBLK","DISCAFF","PARTY","IDEOLOGY","AGESUM","INCOME","EDUC2","REGION2","CITY","RURAL","PROT","NEWFUND"
"60",60,"female","White","Catholic","moderate","Married","ONCE A MONTH","Not wrong at all",NA,NA,"Always wrong",NA,"Favor",NA,"Should not","Disapprove",NA,"Too little","About right","About right","About right","About right","About right","Too little","About right","Hardly confidnce","some confidence","some confidence","some confidence","some confidence","some confidence","Strong disagree","Disagree","Agree","Disagree","No","Not Favor/Opposd","Somewhat Opposed",NA,"Independent","moderate","45 to 59","under $20,000","some college","Northeast","central city (top 100)",0,0,NA
"61",61,"female","White","Protestant","moderate","Never married","NEVER","Wrong sometimes","Almst alwys wrng","Always wrong","Always wrong","Yes","Oppose","Favor",NA,"Disapprove",NA,NA,NA,NA,NA,NA,NA,"Too little","Too little",NA,NA,NA,NA,NA,NA,"Agree",NA,"Disagree","Strong disagree","No","Somewhat Opposed","Very Much Opposd","Somewhat likely","Independent","conservative","60 or older","$20,000 to $34,999","high school graduate","Northeast","central city (top 100)",0,1,NA
"62",62,"male","White","Jewish","liberal","Married","ONCE A MONTH","Not wrong at all","Always wrong",NA,"Wrong sometimes","Yes","Favor","Oppose",NA,"Approve","About right","About right","About right","Too little","Too little","About right","About right","Too little","About right",NA,NA,NA,NA,NA,NA,"Strongly agree","Disagree","Disagree","Disagree","No","Not Favor/Opposd","Not Favor/Opposd","Somewhat likely","Democrat","liberal","30 to 44","$35,000 to $59,000","some college","Northeast","other urban county",0,0,1
"63",63,"male","White","Catholic","moderate","Never married","ONCE OR TWICE YR",NA,"Always wrong","Almst alwys wrng",NA,"Yes","Favor","Favor","Should not",NA,NA,NA,NA,NA,NA,NA,NA,"Too little","Too little","some confidence","some confidence","Hardly confidnce","some confidence","Hardly confidnce","some confidence",NA,NA,NA,NA,NA,NA,NA,"Somewhat likely","Independent","liberal","18 to 29","$60,000 or more","some college","Northeast","other urban county",0,0,NA
"64",64,"female","White","Protestant","fundamentalist","Married","EVERY WEEK","Always wrong",NA,NA,"Always wrong",NA,"Oppose",NA,"Should not","Approve",NA,NA,NA,NA,NA,NA,NA,"About right","About right","some confidence","some confidence","Hardly confidnce","Hardly confidnce","some confidence","Hardly confidnce","Disagree","Disagree","Strongly agree","Disagree","Yes","Not Favor/Opposd","Somewhat Opposed",NA,"Independent","conservative","30 to 44","$60,000 or more","high school graduate","Northeast","other urban county",0,1,3
"65",65,"male","White","None","liberal","Married","LESS ONCE A YEAR","Not wrong at all",NA,NA,"Not wrong at all",NA,"Favor",NA,"Should not","Disapprove","About right","Too little","Too little","Too little","About right","About right","About right","Too little","Too much","some confidence","some confidence","Hardly confidnce","some confidence","some confidence","some confidence","Disagree","Disagree","Disagree","Strong disagree","No","Very Much Opposd","Somewhat Favor",NA,"Republican","moderate","30 to 44","$20,000 to $34,999","high school graduate","Northeast","other urban county",0,0,1
"66",66,"male","White",NA,NA,"Married","EVERY WEEK",NA,"Always wrong","Always wrong",NA,"No","Favor","Favor","Should not",NA,NA,NA,NA,NA,NA,NA,NA,"Too little","Too much","some confidence","Hardly confidnce","Hardly confidnce","some confidence","some confidence","Hardly confidnce",NA,NA,NA,NA,NA,NA,NA,"Very likely","Independent","conservative","60 or older",NA,"high school graduate","Northeast","other urban county",0,0,NA
"67",67,"female","White","Catholic","moderate","Married","EVERY WEEK","Always wrong",NA,NA,"Always wrong",NA,"Favor",NA,"Should not","Disapprove",NA,NA,NA,NA,NA,NA,NA,"Too little","Too little","Hardly confidnce","Hardly confidnce","Hardly confidnce","Hardly confidnce","Hardly confidnce","Hardly confidnce","Strong disagree","Agree","Disagree","Strongly agree","No","Somewhat Favor","Somewhat Opposed",NA,"Republican","conservative","60 or older",NA,"high school graduate","Northeast","central city (top 100)",0,0,NA
"68",68,"male","White","Jewish","liberal","Married","ONCE A MONTH",NA,"Almst alwys wrng","Not wrong at all",NA,"Yes","Favor","Favor","Should",NA,"Too little","Too little",NA,"Too little","About right","About right","About right","About right","Too little","some confidence","some confidence","some confidence","some confidence","some confidence","Hardly confidnce",NA,NA,NA,NA,NA,NA,NA,"Not very likely","Democrat","liberal","45 to 59","$60,000 or more","college graduate","Northeast","central city (top 100)",0,0,1
"69",69,"male","White","Catholic","moderate","Divorced","ONCE OR TWICE YR",NA,"Always wrong","Not wrong at all",NA,"No","Favor","Favor","Should not",NA,NA,NA,NA,NA,NA,NA,NA,"About right","About right","some confidence","some confidence","Hardly confidnce","some confidence","some confidence","Hardly confidnce",NA,NA,NA,NA,NA,NA,NA,"Very likely","Republican","conservative","45 to 59","$60,000 or more","college graduate","Northeast","central city (top 100)",0,0,NA
"70",70,"female","Other","None","liberal","Never married","ONCE OR TWICE YR","Not wrong at all","Almst alwys wrng","Not wrong at all","Always wrong","No","Favor","Favor",NA,"Approve",NA,NA,NA,NA,NA,NA,NA,"About right","About right",NA,NA,NA,NA,NA,NA,"Strongly agree","Strong disagree","Disagree","Strong disagree","No","Not Favor/Opposd","Very Much Favor","Not very likely","Independent","liberal","30 to 44","$20,000 to $34,999","some college","West","suburb of biggest 100 cities",0,0,1
"71",71,"female","White","Catholic","moderate","Divorced","ONCE OR TWICE YR","Almst alwys wrng","Always wrong","Always wrong","Always wrong",NA,"Favor","Favor",NA,"Disapprove",NA,NA,NA,NA,NA,NA,NA,"Too much","About right",NA,NA,NA,NA,NA,NA,"Agree","Strongly agree","Disagree","Strongly agree",NA,"Very Much Opposd","Very Much Opposd","Somewhat likely","Republican","conservative","60 or older","$20,000 to $34,999","less than h.s. diploma","West","suburb of biggest 100 cities",0,0,NA
"72",72,"male","White","None","liberal","Divorced","NEVER","Wrong sometimes","Almst alwys wrng","Not wrong at all","Almst alwys wrng","No","Oppose","Favor",NA,"Approve","Too little","Too little","About right","About right","Too little","About right","About right","About right","Too little",NA,NA,NA,NA,NA,NA,"Strongly agree","Strong disagree","Agree","Strong disagree","Yes","Not Favor/Opposd","Very Much Favor",NA,"Independent","liberal","30 to 44","$60,000 or more","college graduate","West","suburb of biggest 100 cities",0,0,1
"73",73,"male","White","None","liberal","Never married","SEVERAL TIMES YR",NA,"Always wrong","Always wrong",NA,"Yes","Favor","Favor","Should not",NA,NA,NA,NA,NA,NA,NA,NA,"Too little","About right","some confidence","some confidence","great confidence","some confidence","great confidence","great confidence",NA,NA,NA,NA,NA,NA,NA,"Not very likely","Democrat","moderate","18 to 29","under $20,000","some college","West","suburb of biggest 100 cities",0,0,1
"74",74,"female","White","Protestant","fundamentalist","Divorced","SEVERAL TIMES WK",NA,"Always wrong","Always wrong",NA,"No","Oppose","Favor","Should not",NA,"Too little","Too little","Too little","About right","Too little",NA,"About right","Too much","About right","great confidence",NA,"some confidence","some confidence","some confidence","Hardly confidnce",NA,NA,NA,NA,NA,NA,NA,"Not very likely","Independent","conservative","30 to 44","under $20,000","high school graduate","West","suburb of biggest 100 cities",0,1,3
"75",75,"male","Black","Protestant","fundamentalist","Never married","ONCE OR TWICE YR","Almst alwys wrng","Always wrong","Not wrong at all","Always wrong","No","Favor","Favor",NA,"Disapprove",NA,NA,NA,NA,NA,NA,NA,"About right","Too little",NA,NA,NA,NA,NA,NA,"Agree","Strong disagree","Agree","Strong disagree","Yes","Very Much Favor","Very Much Favor","Not very likely","Democrat","liberal","18 to 29","under $20,000","some college","West","suburb of biggest 100 cities",0,1,3
"76",76,"female","Other","Catholic","moderate","Married","SEVERAL TIMES WK","Always wrong","Always wrong","Always wrong","Always wrong","No","Oppose","Favor",NA,"Disapprove",NA,NA,NA,NA,NA,NA,NA,"About right","About right",NA,NA,NA,NA,NA,NA,"Disagree","Agree","Strongly agree","Strongly agree","No","Not Favor/Opposd","Somewhat Favor","Very likely","Republican","conservative","60 or older","$20,000 to $34,999","high school graduate","West","suburb of biggest 100 cities",0,0,NA
"77",77,"male","White","None","liberal","Never married","LESS ONCE A YEAR","Not wrong at all",NA,NA,"Wrong sometimes",NA,"Favor",NA,"Should","Approve",NA,NA,NA,NA,NA,NA,NA,"About right","Too little","some confidence","some confidence","some confidence","some confidence","great confidence","some confidence","Agree","Disagree","Disagree","Disagree","No","Not Favor/Opposd","Not Favor/Opposd",NA,"Democrat","liberal","18 to 29",NA,"college graduate","West","suburb of biggest 100 cities",0,0,1
"78",78,"female","White",NA,NA,"Married","SEVERAL TIMES YR","Always wrong",NA,NA,"Always wrong",NA,"Favor",NA,"Should","Disapprove",NA,NA,NA,NA,NA,NA,NA,"About right","About right","Hardly confidnce","some confidence","some confidence","some confidence","some confidence","some confidence","Disagree","Disagree","Agree","Agree","No","Very Much Opposd","Very Much Opposd",NA,"Democrat","liberal","18 to 29","$35,000 to $59,000","some college","West","suburb of biggest 100 cities",0,0,NA
"79",79,"male","White","Protestant","fundamentalist","Married","ONCE OR TWICE YR",NA,"Always wrong","Always wrong",NA,"No","Favor","Favor","Should",NA,NA,NA,NA,NA,NA,NA,NA,"About right","About right","great confidence","some confidence","some confidence","some confidence","some confidence","Hardly confidnce",NA,NA,NA,NA,NA,NA,NA,"Not very likely","Democrat","conservative","30 to 44","$20,000 to $34,999","college graduate","West","suburb of biggest 100 cities",0,1,3
"80",80,"female","Other","Catholic","moderate","Divorced","SEVERAL TIMES YR","Not wrong at all","Always wrong","Not wrong at all","Always wrong","Yes","Favor","Favor",NA,"Approve","Too much","Too much","Too little","Too little","Too little","Too little","Too much","Too little","About right",NA,NA,NA,NA,NA,NA,"Strongly agree","Strong disagree","Disagree","Disagree","Yes","Very Much Opposd","Very Much Favor","Somewhat likely","Independent","liberal","30 to 44","$20,000 to $34,999","high school graduate","West","suburb of biggest 100 cities",0,0,NA
"81",81,"female","White","Protestant","liberal","Widowed","NEVER","Not wrong at all","Always wrong","Not wrong at all","Always wrong","Yes","Favor","Oppose",NA,"Approve",NA,NA,NA,NA,NA,NA,NA,"Too little","About right",NA,NA,NA,NA,NA,NA,"Agree","Strong disagree",NA,"Agree","Yes","Not Favor/Opposd","Not Favor/Opposd","Somewhat likely","Republican","conservative","45 to 59","$20,000 to $34,999","college graduate","West","suburb of biggest 100 cities",0,1,1
"82",82,"male","Other","Catholic","moderate","Never married","SEVERAL TIMES WK",NA,"Always wrong","Not wrong at all",NA,"No","Oppose","Favor","Should",NA,"About right","About right","Too little","Too little","About right","Too little","Too much","About right","About right","some confidence","some confidence","great confidence","some confidence","great confidence","great confidence",NA,NA,NA,NA,NA,NA,NA,"Somewhat likely","Independent","conservative","18 to 29","$35,000 to $59,000","some college","West","suburb of biggest 100 cities",0,0,NA
"83",83,"male","White","None","liberal","Married","NEVER","Not wrong at all","Almst alwys wrng","Not wrong at all","Not wrong at all","Yes",NA,"Favor",NA,"Approve","About right","Too little","Too much","Too much","Too much","About right","About right","Too little","About right",NA,NA,NA,NA,NA,NA,"Disagree","Disagree","Disagree","Strong disagree","Yes","Not Favor/Opposd","Not Favor/Opposd","Not very likely","Independent","moderate","45 to 59","$35,000 to $59,000","college graduate","West","suburb of biggest 100 cities",0,0,1
"84",84,"female","White","Protestant","fundamentalist","Married","SEVERAL TIMES WK","Always wrong",NA,NA,"Always wrong",NA,"Oppose",NA,"Should not","Disapprove",NA,NA,NA,NA,NA,NA,NA,"About right","About right","some confidence","some confidence","some confidence","some confidence","great confidence","great confidence","Strong disagree","Disagree","Strongly agree","Disagree","No","Very Much Opposd","Somewhat Favor",NA,"Democrat","conservative","30 to 44","$35,000 to $59,000","less than h.s. diploma","West","suburb of biggest 100 cities",0,1,3
"85",85,"male","White","Protestant","fundamentalist","Widowed","NEVER","Not wrong at all",NA,NA,"Always wrong",NA,"Favor",NA,"Should","Disapprove",NA,NA,NA,NA,NA,NA,NA,"Too little","About right","Hardly confidnce","some confidence","some confidence","Hardly confidnce","some confidence","some confidence","Disagree","Disagree","Agree","Disagree","No","Somewhat Opposed","Not Favor/Opposd",NA,"Democrat","liberal","60 or older","under $20,000","high school graduate","West","suburb of biggest 100 cities",0,1,3
"86",86,"female","White","Catholic","moderate","Widowed","NEARLY EVERY WK","Not wrong at all",NA,NA,"Always wrong",NA,NA,NA,"Should not","Disapprove",NA,"Too little","Too little","Too little","Too little","Too little",NA,"Too little",NA,"Hardly confidnce","Hardly confidnce","Hardly confidnce","Hardly confidnce","some confidence","some confidence","Agree","Strongly agree","Agree","Agree","No",NA,"Somewhat Opposed",NA,"Republican","conservative","60 or older","$60,000 or more","some college","West","suburb of biggest 100 cities",0,0,NA
"87",87,"male","Black","Protestant","fundamentalist","Divorced","NEVER","Not wrong at all","Always wrong","Not wrong at all","Not wrong at all","Yes","Favor","Favor",NA,"Approve",NA,NA,NA,NA,NA,NA,NA,"Too much","Too much",NA,NA,NA,NA,NA,NA,"Agree","Disagree","Disagree","Disagree","Yes","Not Favor/Opposd","Not Favor/Opposd","Somewhat likely","Democrat","conservative","45 to 59","under $20,000","high school graduate","West","suburb of biggest 100 cities",0,1,3
"88",88,"male","White","Catholic","moderate","Married","EVERY WEEK",NA,NA,NA,"Always wrong",NA,"Favor",NA,"Should not","Disapprove",NA,NA,NA,NA,NA,NA,NA,"About right",NA,"great confidence","some confidence","some confidence","Hardly confidnce","some confidence","some confidence","Agree","Agree","Disagree","Disagree",NA,"Somewhat Opposed","Not Favor/Opposd",NA,"Independent","moderate","18 to 29",NA,"college graduate","West","suburb of biggest 100 cities",0,0,NA
"89",89,"male","White","Catholic","moderate","Never married","NEVER","Not wrong at all",NA,NA,"Wrong sometimes",NA,"Favor",NA,NA,"Disapprove",NA,NA,NA,NA,NA,NA,NA,"About right","About right","some confidence","great confidence","some confidence","some confidence","great confidence","some confidence","Agree","Disagree","Disagree","Disagree","No","Somewhat Opposed","Somewhat Opposed",NA,"Republican","conservative","30 to 44","under $20,000","high school graduate","North Central","central city (top 100)",0,0,NA
"90",90,"male","White","Catholic","moderate","Married","EVERY WEEK",NA,"Always wrong","Always wrong",NA,"Yes","Favor","Favor","Should not",NA,"About right","About right","Too little","Too little","About right","Too much","Too much","Too little","About right","great confidence","great confidence","great confidence","some confidence","Hardly confidnce","Hardly confidnce",NA,NA,NA,NA,NA,NA,NA,"Very likely","Democrat","moderate","60 or older","$20,000 to $34,999","high school graduate","North Central","central city (top 100)",0,0,NA
